ik,I,Ik ben een student.,I am a student.
wit,white,Sneeuw is wit.,Snow is white.
grijs,grey,Het is een grijze dag.,It is a grey day.
bruin,brown,De beer is bruin.,The bear is brown.
oranje,orange,Nederland draagt oranje.,The Netherlands wears orange.
paars,purple,Een paarse bloem.,A purple flower.
roze,pink,Zij houdt van roze.,She loves pink.
lichtblauw,light blue,Een lichtblauwe trui.,A light blue sweater.
donkergroen,dark green,Donkergroene bladeren.,Dark green leaves.
kleding,clothing,Ik koop nieuwe kleding.,I am buying new clothing.
jas,coat / jacket,Trek je jas aan.,Put on your coat.
broek,pants / trousers,Mijn broek is te lang.,My pants are too long.
shirt,shirt,Een wit shirt.,A white shirt.
trui,sweater,Het is koud, trek een trui aan.,It is cold, put on a sweater.
rok,skirt,Zij draagt een rok.,She is wearing a skirt.
jurk,dress,Een mooie jurk.,A beautiful dress.
schoenen,shoes,Mijn schoenen zijn vies.,My shoes are dirty.
sokken,socks,Ik zoek mijn sokken.,I am looking for my socks.
hoed,hat,Hij draagt een hoed.,He is wearing a hat.
handschoenen,gloves,Ik heb handschoenen nodig.,I need gloves.
sjaal,scarf,Een warme sjaal.,A warm scarf.
ondergoed,underwear,Schoon ondergoed.,Clean underwear.
pyjama,pajamas,Trek je pyjama aan.,Put on your pajamas.
riem,belt,Mijn riem is te strak.,My belt is too tight.
bril,glasses,Ik kan mijn bril niet vinden.,I cannot find my glasses.
horloge,watch,Mijn horloge is kapot.,My watch is broken.
tas,bag,Een handige tas.,A handy bag.
paraplu,umbrella,Vergeet je paraplu niet.,Don't forget your umbrella.
gevoel,feeling,Een goed gevoel.,A good feeling.
blij,happy,Ik ben erg blij.,I am very happy.
verdrietig,sad,Waarom ben je verdrietig?,Why are you sad?
boos,angry,Hij is erg boos.,He is very angry.
bang,afraid,Ik ben bang voor honden.,I am afraid of dogs.
moe,tired,Ik ben zo moe.,I am so tired.
verrast,surprised,Ik was erg verrast.,I was very surprised.
zenuwachtig,nervous,Ik ben zenuwachtig voor de test.,I am nervous for the test.
trots,proud,Ik ben trots op jou.,I am proud of you.
alleen,lonely,Ik voel me alleen.,I feel lonely.
verveeld,bored,De student is verveeld.,The student is bored.
ziek,sick,Ik ben vandaag ziek.,I am sick today.
gezond,healthy,Gezond eten is belangrijk.,Healthy food is important.
pijn,pain,Ik heb pijn in mijn rug.,I have pain in my back.
hoofdpijn,headache,Ik heb een zware hoofdpijn.,I have a heavy headache.
koorts,fever,Het kind heeft koorts.,The child has a fever.
verkouden,having a cold,Ik ben erg verkouden.,I have a bad cold.
hoesten,to cough,Hij moet veel hoesten.,He has to cough a lot.
niezen,to sneeze,Ik moet altijd niezen in de zon.,I always have to sneeze in the sun.
medicijn,medicine,Neem je medicijn in.,Take your medicine.
apotheek,pharmacy,Ik ga naar de apotheek.,I am going to the pharmacy.
recept,prescription,Een recept van de dokter.,A prescription from the doctor.
pleister,band-aid,Ik heb een pleister nodig.,I need a band-aid.
bloed,blood,Er is bloed op je shirt.,There is blood on your shirt.
hart,heart,Mijn hart slaat snel.,My heart beats fast.
longen,lungs,Roken is slecht voor je longen.,Smoking is bad for your lungs.
maag,stomach,Mijn maag is leeg.,My stomach is empty.
keel,throat,Ik heb keelpijn.,I have a sore throat.
afspraak,appointment,Een afspraak bij de tandarts.,An appointment at the dentist.
tandarts,dentist,Ik ben bang voor de tandarts.,I am afraid of the dentist.
zorg,care,Zorg voor jezelf.,Take care of yourself.
onweer,thunderstorm,Er is onweer op komst.,A thunderstorm is coming.
mist,fog,Het is erg mistig buiten.,It is very foggy outside.
wolk,cloud,Ik zie een grijze wolk.,I see a grey cloud.
bliksem,lightning,Ik zag de bliksem.,I saw the lightning.
storm,storm,De storm was erg sterk.,The storm was very strong.
ijs,ice,Er ligt ijs op de weg.,There is ice on the road.
vriezen,to freeze,Het gaat vanavond vriezen.,It is going to freeze tonight.
smelten,to melt,De sneeuw smelt.,The snow is melting.
lente,spring,De bloemen bloeien in de lente.,The flowers bloom in the spring.
zomer,summer,In de zomer is het warm.,In the summer it is warm.
herfst,autumn,De bladeren vallen in de herfst.,The leaves fall in autumn.
winter,winter,In de winter sneeuwt het.,In the winter it snows.
seizoen,season,Wat is je favoriete seizoen?,What is your favorite season?
natuur,nature,Ik wandele graag in de natuur.,I like walking in nature.
bos,forest,Wij lopen in het bos.,We are walking in the forest.
strand,beach,Laten we naar het strand gaan.,Let's go to the beach.
zee,sea,De zee is blauw.,The sea is blue.
rivier,river,De rivier stroomt snel.,The river flows fast.
meer,lake,Zwemmen in het meer.,Swimming in the lake.
gras,grass,Loop niet op het gras.,Don't walk on the grass.
zand,sand,Zand in mijn schoenen.,Sand in my shoes.
heuvel,hill,De fiets gaat de heuvel op.,The bike goes up the hill.
eiland,island,Wij wonen op een eiland.,We live on an island.
wereld,world,De wereld is groot.,The world is big.
onderwijs,education,Goed onderwijs is belangrijk.,Good education is important.
school,school,Ik ga naar school.,I go to school.
klas,class,In de klas is het stil.,In the class it is quiet.
leraar,teacher,De leraar legt het uit.,The teacher explains it.
leerling,student (young),De leerling leert veel.,The student learns a lot.
universiteit,university,Zij studeert aan de universiteit.,She studies at the university.
boek,book,Lees dit boek.,Read this book.
schrift,notebook,Schrijf het in je schrift.,Write it in your notebook.
potlood,pencil,Heb je een potlood?,Do you have a pencil?
gum,eraser,Ik heb een gum nodig.,I need an eraser.
tas,bag,Mijn schooltas is zwaar.,My school bag is heavy.
examen,exam,Ik heb morgen een examen.,I have an exam tomorrow.
toets,test,Een moeilijke toets.,A difficult test.
cijfer,grade,Ik heb een goed cijfer.,I have a good grade.
huiswerk,homework,Maak je huiswerk.,Do your homework.
les,lesson,De les begint nu.,The lesson starts now.
pauze,break,Het is tijd voor pauze.,It is time for a break.
vak,subject,Wat is je favoriete vak?,What is your favorite subject?
taal,language,Nederlands is een mooie taal.,Dutch is a beautiful language.
woord,word,Wat betekent dit woord?,What does this word mean?
zin,sentence,Maak een goede zin.,Make a good sentence.
fout,error / mistake,Ik heb een fout gemaakt.,I made a mistake.
verbeteren,to improve / correct,Verbeter de fouten.,Correct the mistakes.
herhalen,to repeat,Kun je dat herhalen?,Can you repeat that?
begrijpen,to understand,Begrijp je de vraag?,Do you understand the question?
uitleggen,to explain,Kunt u het uitleggen?,Can you explain it?
onthouden,to remember,Ik kan het niet onthouden.,I cannot remember it.
oefenen,to practice,Blijf oefenen!,Keep practicing!
krant,newspaper,Ik lees de krant.,I read the newspaper.
tijdschrift,magazine,Een leuk tijdschrift.,A fun magazine.
radio,radio,Zet de radio aan.,Turn on the radio.
nieuws,news,Heb je het nieuws gehoord?,Have you heard the news?
internet,internet,Het internet is traag.,The internet is slow.
website,website,Bezoek onze website.,Visit our website.
computer,computer,De computer start op.,The computer is starting up.
muis,mouse,De muis werkt niet.,The mouse is not working.
toetsenbord,keyboard,Typen op het toetsenbord.,Typing on the keyboard.
scherm,screen,Kijk naar het scherm.,Look at the screen.
e-mail,email,Ik stuur een e-mail.,I am sending an email.
wachtwoord,password,Wat is het wachtwoord?,What is the password?
bericht,message,Ik heb een bericht gekregen.,I received a message.
foto,photo,Maak een foto.,Take a photo.
camera,camera,Mijn camera is nieuw.,My camera is new.
muziek,music,Ik luister naar muziek.,I am listening to music.
liedje,song,Een mooi liedje.,A beautiful song.
film,movie,Laten we een film kijken.,Let's watch a movie.
bioscoop,cinema,Gaan we naar de bioscoop?,Are we going to the cinema?
vrije tijd,leisure time,Wat doe je in je vrije tijd?,What do you do in your leisure time?
hobby,hobby,Mijn hobby is tekenen.,My hobby is drawing.
sport,sport,Doe je aan sport?,Do you do sports?
voetbal,football,Ik hou van voetbal.,I love football.
zwemmen,to swim,Ik ga zwemmen.,I am going swimming.
fietsen,to cycle,Lekker fietsen.,Nice cycling.
wandelen,to walk / hike,Wandelen in het park.,Walking in the park.
hardlopen,to run,Hij gaat elke dag hardlopen.,He goes running every day.
dansen,to dance,Zij kan goed dansen.,She can dance well.
zingen,to sing,Zing een liedje.,Sing a song.
koken,to cook,Ik kook voor mijn vrienden.,I cook for my friends.
lezen,to read,Ik lees graag boeken.,I like reading books.
reizen,to travel,Wij gaan veel reizen.,We are going to travel a lot.
spelletje,game,Zullen we een spelletje doen?,Shall we play a game?
kaarten,to play cards,We gaan vanavond kaarten.,We are going to play cards tonight.
tekenen,to draw,Ik teken een boom.,I am drawing a tree.
schilderen,to paint,Hij schildert een huis.,He is painting a house.
instrument,instrument,Bespeel je een instrument?,Do you play an instrument?
gitaar,guitar,Ik speel gitaar.,I play guitar.
piano,piano,Zij speelt piano.,She plays piano.
vallen,to fall,Pas op dat je niet valt.,Watch out that you don't fall.
opstaan,to get up,Ik moet vroeg opstaan.,I have to get up early.
zitten,to sit,Ga lekker zitten.,Have a seat.
liggen,to lie down,Ik lig op de bank.,I am lying on the couch.
staan,to stand,Ik sta te wachten.,I am standing and waiting.
springen,to jump,De kat springt op de tafel.,The cat jumps on the table.
rennen,to run,Rennen voor de bus.,Running for the bus.
gooien,to throw,Gooi de bal.,Throw the ball.
vangen,to catch,Vang de bal!,Catch the ball!
duwen,to push,Niet duwen!,Do not push!
trekken,to pull,Trek aan de deur.,Pull the door.
stelen,to steal,Hij heeft mijn tas gestolen.,He stole my bag.
liegen,to lie,Lieg niet tegen mij.,Do not lie to me.
beloven,to promise,Ik beloof het je.,I promise you.
vinden,to think / find,Wat vind je ervan?,What do you think of it?
verliezen,to lose,Ik heb mijn sleutels verloren.,I lost my keys.
zoeken,to look for,Ik zoek mijn bril.,I am looking for my glasses.
vinden,to find,Ik heb het gevonden!,I found it!
dragen,to carry / wear,Ik draag een zware doos.,I am carrying a heavy box.
houden,to keep / hold,Hou dit even vast.,Hold this for a moment.
brengen,to bring,Breng me de krant.,Bring me the newspaper.
halen,to fetch / get,Haal wat melk bij de winkel.,Get some milk at the shop.
sturen,to send,Stuur me een bericht.,Send me a message.
krijgen,to get / receive,Ik krijg een cadeau.,I am getting a gift.
geven,to give,Geef me een hand.,Give me a hand.
verkopen,to sell,Ik verkoop mijn auto.,I am selling my car.
huren,to rent,Wij huren een huis.,We are renting a house.
betalen,to pay,Je moet nu betalen.,You have to pay now.
lenen,to borrow / lend,Mag ik geld lenen?,May I borrow money?
bewaren,to keep / save,Bewaar dit goed.,Keep this safe.
stoppen,to stop,Stop de auto.,Stop the car.
beginnen,to start,Wanneer beginnen we?,When do we start?
doorgaan,to continue,Laten we doorgaan.,Let's continue.
afmaken,to finish,Ik moet mijn werk afmaken.,I have to finish my work.
gebeuren,to happen,Wat is er gebeurd?,What happened?
veranderen,to change,Het weer verandert.,The weather is changing.
helpen,to help,Kan ik je helpen?,Can I help you?
nodig hebben,to need,Ik heb hulp nodig.,I need help.
durven,to dare,Ik durf het niet.,I don't dare to do it.
laten,to let / leave,Laat me met rust.,Leave me alone.
moeten,to must / have to,Ik moet nu gaan.,I have to go now.
mogen,to be allowed to,Mag ik hier zitten?,May I sit here?
kunnen,to be able to,Ik kan zwemmen.,I can swim.
willen,to want,Ik wil een ijsje.,I want an ice cream.
zullen,will / shall,Ik zal je helpen.,I will help you.
dier,animal,Ik hou van elk dier.,I love every animal.
paard,horse,Het paard loopt in de wei.,The horse is walking in the meadow.
koe,cow,De koe geeft melk.,The cow gives milk.
varken,pig,Een varken houdt van modder.,A pig loves mud.
schaap,sheep,Het schaap heeft witte wol.,The sheep has white wool.
konijn,rabbit,Mijn konijn eet wortels.,My rabbit eats carrots.
muis,mouse,Er zit een muis in de keuken.,There is a mouse in the kitchen.
rat,rat,De rat rent weg.,The rat runs away.
olifant,elephant,Een olifant is erg groot.,An elephant is very big.
leeuw,lion,De leeuw is de koning van de jungle.,The lion is the king of the jungle.
tijger,tiger,Een tijger heeft strepen.,A tiger has stripes.
aap,monkey,De aap klimt in de boom.,The monkey climbs in the tree.
slang,snake,Ik ben bang voor die slang.,I am afraid of that snake.
spin,spider,Er zit een spin op de muur.,There is a spider on the wall.
vlieg,fly,Die vlieg is irritant.,That fly is annoying.
bij,bee,Een bij maakt honing.,A bee makes honey.
vlinder,butterfly,Kijk naar die mooie vlinder.,Look at that beautiful butterfly.
mier,ant,Mieren werken samen.,Ants work together.
vleugel,wing,De vogel slaat met zijn vleugels.,The bird flaps its wings.
snavel,beak,De vogel heeft een gele snavel.,The bird has a yellow beak.
staart,tail,De hond kwispelt met zijn staart.,The dog wags its tail.
poot,paw/leg (animal),De kat heeft vier poten.,The cat has four paws.
vacht,fur,De vacht van de hond is zacht.,The dog's fur is soft.
eend,duck,De eend zwemt in de sloot.,The duck swims in the ditch.
zwaan,swan,Een witte zwaan op het meer.,A white swan on the lake.
uil,owl,De uil jaagt 's nachts.,The owl hunts at night.
vos,fox,De vos is erg slim.,The fox is very clever.
wolf,wolf,De wolf huilt naar de maan.,The wolf howls at the moon.
hert,deer,Ik zag een hert in het bos.,I saw a deer in the forest.
walvis,whale,De walvis is een groot zoogdier.,The whale is a large mammal.
haai,shark,Pas op voor de haai.,Watch out for the shark.
dolfijn,dolphin,Dolfijnen zijn erg intelligent.,Dolphins are very intelligent.
krab,crab,De krab loopt op het strand.,The crab walks on the beach.
garnaal,shrimp,Ik eet graag garnalen.,I like eating shrimp.
schildpad,turtle,De schildpad is erg langzaam.,The turtle is very slow.
kikker,frog,De kikker springt in het water.,The frog jumps into the water.
hagedis,lizard,De hagedis zit in de zon.,The lizard is sitting in the sun.
insect,insect,Er zijn veel insecten in de tuin.,There are many insects in the garden.
worm,worm,De vogel eet een worm.,The bird eats a worm.
mug,mosquito,Een mug heeft me geprikt.,A mosquito bit me.
pan,pan,De soep zit in de pan.,The soup is in the pan.
deksel,lid,Doe de deksel op de pan.,Put the lid on the pan.
vergiet,colander,Gebruik een vergiet voor de pasta.,Use a colander for the pasta.
snijplank,cutting board,Snijd de groente op de snijplank.,Cut the vegetables on the cutting board.
waterkoker,kettle,De waterkoker is klaar.,The kettle is ready.
koffiezetapparaat,coffee maker,Het koffiezetapparaat is nieuw.,The coffee maker is new.
broodrooster,toaster,Doe het brood in de broodrooster.,Put the bread in the toaster.
schaal,bowl/dish,Een schaal vol fruit.,A bowl full of fruit.
kom,bowl,Ik eet soep uit een kom.,I eat soup from a bowl.
dienblad,tray,Alles staat op het dienblad.,Everything is on the tray.
servet,napkin,Heb je een servet nodig?,Do you need a napkin?
tafelkleed,tablecloth,Het tafelkleed is wit.,The tablecloth is white.
kaars,candle,Steek de kaars aan.,Light the candle.
vaas,vase,De bloemen staan in de vaas.,The flowers are in the vase.
kussen,pillow,Ik heb een zacht kussen.,I have a soft pillow.
deken,blanket,Het is koud, neem een deken.,It's cold, take a blanket.
laken,sheet,Schone lakens op het bed.,Clean sheets on the bed.
kussensloop,pillowcase,De kussensloop is blauw.,The pillowcase is blue.
matras,mattress,Dit matras ligt heerlijk.,This mattress is very comfortable.
gordijn,curtain,Doe de gordijnen dicht.,Close the curtains.
vloerkleed,rug,Er ligt een vloerkleed op de vloer.,There is a rug on the floor.
plank,shelf,De boeken staan op de plank.,The books are on the shelf.
kapstok,coat rack,Hang je jas aan de kapstok.,Hang your coat on the coat rack.
wekker,alarm clock,De wekker gaat om zeven uur.,The alarm clock goes off at seven.
batterij,battery,De batterij is leeg.,The battery is empty.
stekker,plug,Steek de stekker in het stopcontact.,Put the plug in the socket.
stopcontact,socket,Waar is een stopcontact?,Where is a socket?
schakelaar,switch,Gebruik de schakelaar voor het licht.,Use the switch for the light.
zolder,attic,Wij bewaren oude spullen op zolder.,We keep old things in the attic.
kelder,cellar,De wijn staat in de kelder.,The wine is in the cellar.
balkon,balcony,Wij zitten vaak op het balkon.,We often sit on the balcony.
garage,garage,De auto staat in de garage.,The car is in the garage.
schuur,shed,Mijn fiets staat in de schuur.,My bike is in the shed.
hek,fence,Er staat een hek om de tuin.,There is a fence around the garden.
brievenbus,mailbox,Zit er post in de brievenbus?,Is there mail in the mailbox?
aardig,kind/nice,Hij is een aardige man.,He is a kind man.
gemeen,mean,Doe niet zo gemeen.,Don't be so mean.
slim,smart,Dat is een slimme oplossing.,That is a smart solution.
dom,stupid,Dat was een domme fout.,That was a stupid mistake.
dapper,brave,De brandweerman is erg dapper.,The firefighter is very brave.
eerlijk,honest,Wees altijd eerlijk.,Always be honest.
vals,false/mean,Die hond is vals.,That dog is mean.
beleefd,polite,Je moet beleefd zijn.,You must be polite.
brutaal,rude/bold,Dat kind is erg brutaal.,That child is very rude.
rustig,quiet/calm,Het is hier erg rustig.,It is very quiet here.
druk,busy,De stad is erg druk.,The city is very busy.
stil,silent,Wees even stil.,Be silent for a moment.
luid,loud,De muziek is te luid.,The music is too loud.
saai,boring,Deze film is saai.,This movie is boring.
grappig,funny,Dat is een grappig verhaal.,That is a funny story.
serieus,serious,Dit is een serieuze zaak.,This is a serious matter.
streng,strict,De leraar is erg streng.,The teacher is very strict.
lief,sweet/nice,Wat een lief kind.,What a sweet child.
stout,naughty,Je bent een stout jongetje.,You are a naughty boy.
rijk,rich,Hij is erg rijk.,He is very rich.
arm,poor,Zij zijn erg arm.,They are very poor.
beroemd,famous,Een beroemde zanger.,A famous singer.
onbekend,unknown,De schrijver is onbekend.,The author is unknown.
veilig,safe,Is het hier veilig?,Is it safe here?
gevaarlijk,dangerous,Dit is een gevaarlijke weg.,This is a dangerous road.
ongezond,unhealthy,Roken is ongezond.,Smoking is unhealthy.
bedorven,spoiled,De melk is bedorven.,The milk is spoiled.
diep,deep,Het water is hier erg diep.,The water is very deep here.
ondiep,shallow,Het zwembad is ondiep.,The pool is shallow.
breed,wide,De rivier is erg breed.,The river is very wide.
smal,narrow,Een smalle straat.,A narrow street.
dik,fat/thick,Dit boek is erg dik.,This book is very thick.
dun,thin,Een dunne jas.,A thin coat.
vet,fat/greasy,Friet is erg vet.,Fries are very greasy.
mager,thin/lean,Mager vlees.,Lean meat.
sterk,strong,Hij is erg sterk.,He is very strong.
zwak,weak,Ik voel me zwak.,I feel weak.
glad,slippery,De weg is glad.,The road is slippery.
ruw,rough,De muur voelt ruw aan.,The wall feels rough.
scherp,sharp,Het mes is erg scherp.,The knife is very sharp.
bot,blunt,Dit mes is bot.,This knife is blunt.
recht,straight,Een rechte lijn.,A straight line.
krom,crooked/bent,De stok is krom.,The stick is bent.
rond,round,De tafel is rond.,The table is round.
vierkant,square,Een vierkant blok.,A square block.
driehoekig,triangular,Een driehoekig bord.,A triangular sign.
hamer,hammer,Ik heb een hamer nodig.,I need a hammer.
spijker,nail,Sla de spijker in de muur.,Hit the nail into the wall.
schroef,screw,Draai de schroef vast.,Tighten the screw.
schroevendraaier,screwdriver,Waar is de schroevendraaier?,Where is the screwdriver?
zaag,saw,Ik zaag het hout.,I am sawing the wood.
boor,drill,Heb je een boor?,Do you have a drill?
tang,pliers,Gebruik een tang.,Use pliers.
ladder,ladder,Klim op de ladder.,Climb the ladder.
verf,paint,De verf is nog nat.,The paint is still wet.
kwast,brush,Een kwast voor de verf.,A brush for the paint.
lijm,glue,De lijm plakt goed.,The glue sticks well.
schaar,scissors,Knip het met een schaar.,Cut it with scissors.
meetlint,tape measure,Gebruik het meetlint.,Use the tape measure.
koper,copper,Een koperen munt.,A copper coin.
rubber,rubber,Banden zijn van rubber.,Tires are made of rubber.
printer,printer,De printer heeft geen papier.,The printer has no paper.
kabel,cable,De kabel is te kort.,The cable is too short.
usb-stick,USB stick,Sla het op op de usb-stick.,Save it on the USB stick.
harde schijf,hard drive,Mijn harde schijf is vol.,My hard drive is full.
map,folder,Doe het papier in de map.,Put the paper in the folder.
ordner,binder,Een blauwe ordner.,A blue binder.
nietmachine,stapler,Waar is de nietmachine?,Where is the stapler?
perforator,hole punch,Gebruik de perforator.,Use the hole punch.
plakband,tape,Heb je plakband?,Do you have tape?
liniaal,ruler,Trek een lijn met de liniaal.,Draw a line with the ruler.
rekenmachine,calculator,Gebruik je rekenmachine.,Use your calculator.
land,country,Nederland is een klein land.,The Netherlands is a small country.
provincie,province,In welke provincie woon je?,Which province do you live in?
hoofdstad,capital,Amsterdam is de hoofdstad.,Amsterdam is the capital.
grens,border,We gaan over de grens.,We are crossing the border.
vlag,flag,De Nederlandse vlag.,The Dutch flag.
koning,king,De koning spreekt.,The king is speaking.
koningin,queen,De koningin zwaait.,The queen is waving.
regering,government,De regering maakt plannen.,The government is making plans.
wet,law,Je moet je aan de wet houden.,You must follow the law.
politiek,politics,Ik volg de politiek.,I follow politics.
maatschappij,society,Een moderne maatschappij.,A modern society.
economie,economy,De economie groeit.,The economy is growing.
geschiedenis,history,Ik leer over geschiedenis.,I am learning about history.
toekomst,future,De toekomst is onzeker.,The future is uncertain.
verleden,past,Denk niet aan het verleden.,Don't think about the past.
heden,present,Focus op het heden.,Focus on the present.
afmaken,to finish,Ik moet mijn werk afmaken.,I have to finish my work.
teruggeven,to give back,Ik zal het boek morgen teruggeven.,I will give the book back tomorrow.
weggooien,to throw away,Gooi het afval niet weg op straat.,Don't throw the trash away on the street.
sparen,to save,Ik spaar voor mijn pensioen.,I am saving for my retirement.
kosten,to cost,Hoeveel gaat dat kosten?,How much is that going to cost?
duren,to last (time),Hoe lang gaat het duren?,How long will it last?
uitkijken,to watch out,Kijk uit voor die auto!,Watch out for that car!
opkijken,to look up (in surprise),Hij zal daar zeker heel erg van opkijken.,He will definitely look up in surprise from that.
nakijken,to check,De leraar moet alle toetsen vanavond nog nakijken.,The teacher has to check all tests tonight.
meenemen,to take along,Neem een paraplu mee.,Take an umbrella with you.
afhalen,to pick up/collect,Ik ga de kinderen van school halen.,I am going to pick up the children from school.
aankomen,to arrive,Hoe laat kom je aan?,What time do you arrive?
vertrekken,to depart,De trein vertrekt om tien uur.,The train departs at ten o'clock.
overstappen,to transfer,Je moet op Utrecht overstappen.,You have to transfer at Utrecht.
parkeren,to park,Je mag hier niet parkeren.,You are not allowed to park here.
tanken,to refuel,Ik moet eerst nog even tanken.,I need to refuel first.
sturen,to steer/send,Ik zal je een bericht sturen.,I will send you a message.
ontvangen,to receive,Heeft u het pakket ontvangen?,Did you receive the package?
beloven,to promise,Ik beloof dat ik zal komen.,I promise that I will come.
liegen,to lie,Je mag niet liegen.,You are not allowed to lie.
stelen,to steal,Hij heeft mijn fiets gestolen.,He stole my bike.
vechten,to fight,De kinderen zijn aan het vechten.,The children are fighting.
winnen,to win,Wij gaan de wedstrijd winnen.,We are going to win the match.
verliezen,to lose,Ik wil de wedstrijd niet verliezen.,I don't want to lose the match.
oefenen,to practice,Je moet je Nederlands oefenen.,You have to practice your Dutch.
herhalen,to repeat,Kun je dat nog een keer herhalen?,Can you repeat that one more time?
uitleggen,to explain,Kan je dat even uitleggen?,Can you explain that for a moment?
begrijpen,to understand,Ik begrijp het nu.,I understand it now.
onthouden,to remember,Ik kan die naam niet onthouden.,I cannot remember that name.
vergeten,to forget,Vergeet je sleutels niet.,Don't forget your keys.
herinneren,to remind/remember,Dat herinnert me aan vroeger.,That reminds me of the past.
hopen,to hope,Ik hoop dat het gaat regenen.,I hope it's going to rain.
geloven,to believe,Ik geloof je niet.,I don't believe you.
durven,to dare,Ik durf niet te springen.,I don't dare to jump.
proberen,to try,Ik ga het proberen.,I am going to try it.
lukken,to succeed,Het gaat je lukken.,You are going to succeed.
falen,to fail,Ik wil niet falen.,I don't want to fail.
beslissen,to decide,Je moet nu beslissen.,You have to decide now.
kiezen,to choose,Welke kleur kies je?,Which color do you choose?
weigeren,to refuse,Hij weigert te eten.,He refuses to eat.
accepteren,to accept,Ik accepteer je verontschuldiging.,I accept your apology.
verwachten,to expect,Ik verwacht dat hij komt.,I expect him to come.
verbazaen,to surprise,Dat verbaast me.,That surprises me.
irriteren,to irritate,Dat lawaai irriteert me.,That noise irritates me.
vervelen,to bore,Ik verveel me.,I am bored.
amuseren,to amuse,Wij hebben ons goed geamuseerd.,We had a good time.
lachen,to laugh,We moesten erg lachen.,We had to laugh a lot.
huilen,to cry,Waarom moet je huilen?,Why do you have to cry?
schreeuwen,to scream/shout,Niet zo schreeuwen!,Don't shout like that!
fluisteren,to whisper,Ze zaten te fluisteren.,They were whispering.
zingen,to sing,Zing een mooi liedje.,Sing a beautiful song.
dansen,to dance,Wil je met me dansen?,Do you want to dance with me?
springen,to jump,De kat springt op de tafel.,The cat jumps on the table.
vallen,to fall,Pas op dat je niet valt.,Watch out that you don't fall.
klimmen,to climb,Hij klimt in de boom.,He is climbing the tree.
zwemmen,to swim,Ik ga elke morgen zwemmen.,I go swimming every morning.
vliegen,to fly,Vogels kunnen vliegen.,Birds can fly.
kruipen,to crawl,De baby kruipt over de vloer.,The baby is crawling on the floor.
rennen,to run,Hij kan erg hard rennen.,He can run very fast.
wandelen,to walk,We gaan een stukje wandelen.,We are going for a short walk.
fietsen,to cycle,In Nederland fietsen we veel.,In the Netherlands we cycle a lot.
rijden,to drive,Ik rijd in een rode auto.,I drive a red car.
varen,to sail,We gaan varen op het meer.,We are going to sail on the lake.
reizen,to travel,Wij reizen graag.,We like to travel.
bezoeken,to visit,Ik ga mijn oma bezoeken.,I am going to visit my grandma.
uitnodigen,to invite,Ik wil je uitnodigen voor mijn feestje.,I want to invite you to my party.
ontmoeten,to meet,Leuk om je te ontmoeten.,Nice to meet you.
voorstellen,to introduce/imagine,Mag ik me even voorstellen?,May I introduce myself?
groeten,to greet,Hij groette me vriendelijk.,He greeted me kindly.
bedanken,to thank,Ik wil je bedanken voor je hulp.,I want to thank you for your help.
verontschuldigen,to apologize,Ik moet me verontschuldigen.,I must apologize.
feliciteren,to congratulate,Gefeliciteerd met je verjaardag!,Congratulations on your birthday!
vieren,to celebrate,We gaan een feestje vieren.,We are going to have a party.
organiseren,to organize,Wie organiseert het uitje?,Who is organizing the trip?
plannen,to plan,We moeten de vakantie plannen.,We need to plan the holiday.
regelen,to arrange,Ik zal alles regelen.,I will arrange everything.
voorbereiden,to prepare,Je moet je goed voorbereiden.,You have to prepare well.
beginnen,to begin,Wanneer begint de film?,When does the movie start?
stoppen,to stop,Stop met dat lawaai!,Stop that noise!
doorgaan,to continue,We gaan gewoon door.,We just keep going.
eindigen,to end,De les eindigt om drie uur.,The lesson ends at three o'clock.
duren,to last,Hoe lang duurt de rit?,How long does the ride take?
gebeuren,to happen,Wat is er gebeurd?,What happened?
veranderen,to change,Alles gaat veranderen.,Everything is going to change.
blijven,to stay,Blijf je hier?,Are you staying here?
wachten,to wait,Ik sta op de bus te wachten.,I am waiting for the bus.
rusten,to rest,Ik moet even uitrusten.,I need to rest for a bit.
sorry,sorry,Sorry ik was een beetje laat.,Sorry I was a little late.
pardon,pardon / excuse me,Pardon mag ik er even langs?,Pardon may I get past?
excuus,excuse me,Mijn excuus voor deze vervelende fout.,My excuses for this annoying mistake.
gefeliciteerd,congratulations,Gefeliciteerd met je verjaardag!,Congratulations on your birthday!
succes,good luck / success,Succes met je examen!,Good luck with your exam!
proost,cheers,Proost op je nieuwe baan!,Cheers to your new job!
alstublieft,please / here you go (formal),Alstublieft hier is uw koffie.,Here you go here is your coffee.
alsjeblieft,please / here you go (informal),Alsjeblieft hier is je boek.,Here you go here is your book.
bedankt,thanks,Bedankt voor de hulp.,Thanks for the help.
dank u wel,thank you (formal),Dank u wel voor de uitnodiging.,Thank you for the invitation.
dank je wel,thank you (informal),Dank je wel voor het cadeau.,Thank you for the gift.
geen dank,you're welcome,Geen dank het was een kleine moeite.,You're welcome it was no trouble.
graag gedaan,my pleasure,Graag gedaan tot de volgende keer.,My pleasure see you next time.
welkom,welcome,Welkom in ons nieuwe huis.,Welcome to our new house.
eet smakelijk,enjoy your meal,Eet smakelijk allemaal.,Enjoy your meal everyone.
goede reis,have a good trip,Goede reis en kom veilig aan.,Have a good trip and arrive safely.
tot ziens,goodbye,Tot ziens en een fijne dag verder.,Goodbye and have a nice day.
